"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","356","3","63"
"Jan-02","323","3","47"
"Jan-03","334","4","59"
"Jan-04","323","4","41"
"Jan-05","342","4","57"
"Jan-06","340","3","45"
"Jan-07","385","1","53"
"Jan-08","348","0","49"
"Jan-09","337","1","39"
"Jan-10","339","2","57"
"Jan-11","341","5","43"
"Jan-12","324","3","41"
"Jan-13","328","0","43"
"Jan-14","312","4","41"
"Jan-15","316","2","28"
"Jan-16","302","4","56"
"Jan-17","357","2","43"
"Jan-18","335","1","50"
"Jan-19","363","2","50"
"Jan-20","358","5","41"
"Jan-21","325","6","51"
"Jan-22","319","2","41"
"Jan-23","319","6","44"
"Jan-24","329","5","40"
"Jan-25","280","1","44"
"Jan-26","335","1","48"
"Jan-27","327","5","57"
"Jan-28","332","3","44"
"Jan-29","375","1","38"
"Jan-30","337","2","56"
"Jan-31","355","3","52"
"Fev-01","363","3","67"
"Fev-02","350","0","44"
"Fev-03","346","2","44"
"Fev-04","331","2","58"
"Fev-05","372","5","41"
"Fev-06","338","5","47"
"Fev-07","357","1","44"
"Fev-08","342","3","40"
"Fev-09","376","1","32"
"Fev-10","370","2","47"
"Fev-11","394","2","41"
"Fev-12","370","2","50"
"Fev-13","357","1","50"
"Fev-14","351","4","41"
"Fev-15","343","1","45"
"Fev-16","354","3","40"
"Fev-17","340","2","36"
"Fev-18","318","1","35"
"Fev-19","348","2","45"
"Fev-20","326","1","48"
"Fev-21","339","6","34"
"Fev-22","330","0","48"
"Fev-23","332","2","41"
"Fev-24","331","0","40"
"Fev-25","282","2","38"
"Fev-26","301","4","33"
"Fev-27","312","2","51"
"Fev-28","310","4","37"
"Mar-01","332","2","39"
"Mar-02","313","2","51"
"Mar-03","344","4","52"
"Mar-04","297","0","45"
"Mar-05","343","1","36"
"Mar-06","302","5","46"
"Mar-07","343","1","41"
"Mar-08","345","4","40"
"Mar-09","314","2","39"
"Mar-10","315","0","53"
"Mar-11","338","2","37"
"Mar-12","296","5","32"
"Mar-13","326","0","36"
"Mar-14","273","3","33"
"Mar-15","288","4","35"
"Mar-16","311","4","32"
"Mar-17","314","5","31"
"Mar-18","287","1","44"
"Mar-19","280","3","37"
"Mar-20","296","4","26"
"Mar-21","290","4","27"
"Mar-22","275","4","39"
"Mar-23","306","0","25"
"Mar-24","278","3","31"
"Mar-25","282","2","36"
"Mar-26","260","5","37"
"Mar-27","276","1","46"
"Mar-28","293","5","29"
"Mar-29","266","3","31"
"Mar-30","293","1","28"
"Mar-31","289","0","29"
"Abr-01","285","1","30"
"Abr-02","271","4","30"
"Abr-03","222","1","57"
"Abr-04","270","3","28"
"Abr-05","292","2","31"
"Abr-06","281","5","45"
"Abr-07","276","1","40"
"Abr-08","265","2","31"
"Abr-09","273","1","36"
"Abr-10","258","1","36"
"Abr-11","274","0","30"
"Abr-12","252","0","34"
"Abr-13","256","5","32"
"Abr-14","278","1","35"
"Abr-15","261","3","27"
"Abr-16","264","3","42"
"Abr-17","270","3","45"
"Abr-18","262","4","36"
"Abr-19","283","3","45"
"Abr-20","272","2","50"
"Abr-21","274","3","32"
"Abr-22","258","4","40"
"Abr-23","228","1","29"
"Abr-24","267","2","33"
"Abr-25","252","0","33"
"Abr-26","256","2","37"
"Abr-27","292","3","35"
"Abr-28","313","1","38"
"Abr-29","319","6","43"
"Abr-30","253","2","40"
"Mai-01","268","3","26"
"Mai-02","271","3","31"
"Mai-03","272","5","37"
"Mai-04","300","2","32"
"Mai-05","270","2","33"
"Mai-06","263","2","20"
"Mai-07","276","3","22"
"Mai-08","268","4","35"
"Mai-09","276","2","49"
"Mai-10","249","3","34"
"Mai-11","221","6","22"
"Mai-12","210","4","26"
"Mai-13","240","0","28"
"Mai-14","235","2","37"
"Mai-15","249","3","51"
"Mai-16","266","4","37"
"Mai-17","258","3","33"
"Mai-18","241","2","29"
"Mai-19","281","0","35"
"Mai-20","266","1","32"
"Mai-21","278","4","29"
"Mai-22","239","4","33"
"Mai-23","272","4","33"
"Mai-24","291","3","25"
"Mai-25","274","2","37"
"Mai-26","276","2","34"
"Mai-27","263","3","33"
"Mai-28","256","2","33"
"Mai-29","251","0","30"
"Mai-30","282","3","33"
"Mai-31","295","1","31"
"Jun-01","260","1","39"
"Jun-02","253","2","42"
"Jun-03","260","3","34"
"Jun-04","249","3","29"
"Jun-05","252","3","26"
"Jun-06","278","0","36"
"Jun-07","286","2","30"
"Jun-08","266","3","38"
"Jun-09","278","2","28"
"Jun-10","268","4","28"
"Jun-11","241","1","39"
"Jun-12","242","2","39"
"Jun-13","276","1","26"
"Jun-14","238","3","28"
"Jun-15","255","3","28"
"Jun-16","280","2","42"
"Jun-17","229","2","35"
"Jun-18","260","1","31"
"Jun-19","237","4","38"
"Jun-20","242","5","34"
"Jun-21","236","1","27"
"Jun-22","272","3","26"
"Jun-23","282","2","36"
"Jun-24","273","4","41"
"Jun-25","282","5","34"
"Jun-26","273","4","41"
"Jun-27","223","0","33"
"Jun-28","288","3","25"
"Jun-29","276","1","31"
"Jun-30","222","4","34"
"Jul-01","235","3","31"
"Jul-02","241","4","40"
"Jul-03","253","3","38"
"Jul-04","233","4","31"
"Jul-05","233","0","25"
"Jul-06","255","4","36"
"Jul-07","254","2","44"
"Jul-08","242","4","28"
"Jul-09","230","1","28"
"Jul-10","255","1","39"
"Jul-11","273","2","32"
"Jul-12","239","0","33"
"Jul-13","240","2","35"
"Jul-14","261","3","32"
"Jul-15","256","2","39"
"Jul-16","210","1","40"
"Jul-17","224","2","39"
"Jul-18","228","2","42"
"Jul-19","273","1","38"
"Jul-20","283","3","26"
"Jul-21","238","5","25"
"Jul-22","235","1","25"
"Jul-23","245","0","28"
"Jul-24","254","2","37"
"Jul-25","222","5","27"
"Jul-26","247","3","24"
"Jul-27","253","2","26"
"Jul-28","257","2","47"
"Jul-29","273","2","21"
"Jul-30","249","3","30"
"Jul-31","269","4","36"
"Ago-01","262","4","29"
"Ago-02","262","6","39"
"Ago-03","244","2","32"
"Ago-04","292","5","33"
"Ago-05","227","5","29"
"Ago-06","247","1","36"
"Ago-07","262","3","45"
"Ago-08","302","6","42"
"Ago-09","316","3","34"
"Ago-10","258","4","37"
"Ago-11","255","3","43"
"Ago-12","281","4","30"
"Ago-13","263","2","29"
"Ago-14","251","2","54"
"Ago-15","288","5","21"
"Ago-16","252","4","45"
"Ago-17","234","3","27"
"Ago-18","270","4","27"
"Ago-19","278","3","36"
"Ago-20","247","1","33"
"Ago-21","263","1","41"
"Ago-22","269","2","40"
"Ago-23","328","2","41"
"Ago-24","294","3","44"
"Ago-25","301","3","27"
"Ago-26","293","2","38"
"Ago-27","285","1","37"
"Ago-28","263","1","39"
"Ago-29","275","4","33"
"Ago-30","264","2","38"
"Ago-31","265","1","25"
"Set-01","250","1","31"
"Set-02","248","4","34"
"Set-03","251","4","26"
"Set-04","258","4","31"
"Set-05","253","1","40"
"Set-06","260","2","38"
"Set-07","261","2","29"
"Set-08","275","3","25"
"Set-09","259","5","30"
"Set-10","274","4","31"
"Set-11","235","5","40"
"Set-12","249","2","34"
"Set-13","243","2","38"
"Set-14","266","3","37"
"Set-15","305","1","26"
"Set-16","254","1","35"
"Set-17","253","4","32"
"Set-18","261","4","28"
"Set-19","243","1","41"
"Set-20","260","5","32"
"Set-21","288","3","27"
"Set-22","242","3","33"
"Set-23","264","2","33"
"Set-24","254","2","33"
"Set-25","264","1","33"
"Set-26","272","3","40"
"Set-27","231","0","37"
"Set-28","270","4","43"
"Set-29","268","2","32"
"Set-30","259","5","43"
"Out-01","261","3","40"
"Out-02","248","1","23"
"Out-03","273","3","39"
"Out-04","272","3","41"
"Out-05","253","3","31"
"Out-06","277","5","35"
"Out-07","273","4","27"
"Out-08","240","5","41"
"Out-09","260","2","32"
"Out-10","268","3","42"
"Out-11","270","0","26"
"Out-12","274","7","28"
"Out-13","274","6","32"
"Out-14","250","4","30"
"Out-15","263","3","31"
"Out-16","265","0","43"
"Out-17","251","1","36"
"Out-18","293","1","35"
"Out-19","271","1","33"
"Out-20","218","4","32"
"Out-21","239","4","24"
"Out-22","244","4","45"
"Out-23","251","5","50"
"Out-24","253","8","32"
"Out-25","222","3","38"
"Out-26","283","3","29"
"Out-27","253","1","31"
"Out-28","286","4","27"
"Out-29","309","6","35"
"Out-30","285","1","33"
"Out-31","256","5","34"
"Nov-01","293","3","30"
"Nov-02","263","2","33"
"Nov-03","244","3","34"
"Nov-04","293","2","34"
"Nov-05","250","4","29"
"Nov-06","247","5","49"
"Nov-07","302","2","39"
"Nov-08","301","2","45"
"Nov-09","270","3","41"
"Nov-10","330","4","41"
"Nov-11","300","2","29"
"Nov-12","279","5","24"
"Nov-13","270","1","37"
"Nov-14","263","1","40"
"Nov-15","296","1","29"
"Nov-16","263","2","35"
"Nov-17","313","4","36"
"Nov-18","280","6","32"
"Nov-19","261","1","25"
"Nov-20","285","3","38"
"Nov-21","257","1","44"
"Nov-22","274","2","36"
"Nov-23","287","1","42"
"Nov-24","260","2","45"
"Nov-25","272","2","34"
"Nov-26","272","4","27"
"Nov-27","281","2","25"
"Nov-28","298","2","43"
"Nov-29","315","2","38"
"Nov-30","295","2","43"
"Dez-01","306","1","42"
"Dez-02","302","4","24"
"Dez-03","254","0","38"
"Dez-04","303","1","61"
"Dez-05","274","2","41"
"Dez-06","297","1","37"
"Dez-07","340","0","47"
"Dez-08","308","2","46"
"Dez-09","333","0","47"
"Dez-10","334","2","42"
"Dez-11","342","1","55"
"Dez-12","345","0","41"
"Dez-13","329","1","40"
"Dez-14","269","3","44"
"Dez-15","309","4","37"
"Dez-16","317","4","51"
"Dez-17","312","1","41"
"Dez-18","292","4","48"
"Dez-19","309","0","54"
"Dez-20","356","5","50"
"Dez-21","338","4","49"
"Dez-22","367","1","52"
"Dez-23","339","1","56"
"Dez-24","373","3","46"
"Dez-25","374","5","72"
"Dez-26","414","2","73"
"Dez-27","410","4","67"
"Dez-28","443","3","67"
"Dez-29","412","3","63"
"Dez-30","440","7","45"
"Dez-31","403","3","68"
